product_id,product_name,category_id,seller_id,brand,sku,price,cost,stock_quantity,created_at,is_active,batch_date
1,Lego Building Blocks Lite,14,138,Lego,SKU-KID-000001,3195.29,1655.15,312,2023-01-17 18:39:35,False,full_load
2,The Ordinary Facial Cleanser Mini,10,126,The Ordinary,SKU-BEA-000002,192.59,89.18,172,2025-11-24 15:11:43,True,full_load
3,Whiskas Dog Food Max,19,6,Whiskas,SKU-PET-000003,1865.1,1050.12,295,2023-12-29 00:41:22,True,full_load
4,HarperCollins Fantasy Novel Max,16,81,HarperCollins,SKU-BOO-000004,1019.96,614.51,216,2025-12-07 08:01:17,True,full_load
5,Uniqlo Slim Fit Jeans Plus,8,57,Uniqlo,SKU-FAS-000005,2282.49,1345.47,336,2025-07-11 21:33:23,True,full_load
6,Hanabishi Nonstick Pan Plus,6,130,Hanabishi,SKU-HOM-000006,6969.37,4083.07,492,2023-12-23 20:30:19,True,full_load
7,Penshoppe Casual Polo Pro,7,197,Penshoppe,SKU-FAS-000007,3471.75,1976.18,344,2022-07-16 13:37:25,True,full_load
8,Nestle Chocolate Cookies Lite,18,192,Nestle,SKU-FOO-000008,476.39,310.4,403,2023-01-10 14:01:10,True,full_load
9,Coca-Cola Trail Mix Pro,18,3,Coca-Cola,SKU-FOO-000009,669.84,376.46,293,2025-08-17 19:51:16,False,full_load
10,L'Oreal Shampoo Mini,10,79,L'Oreal,SKU-BEA-000010,1720.59,1227.35,62,2023-06-28 00:36:22,True,full_load
11,Nike Cotton T-Shirt Plus,8,110,Nike,SKU-FAS-000011,4224.71,2531.16,167,2024-04-05 01:32:37,True,full_load
12,Jack 'n Jill Chocolate Cookies Standard,18,26,Jack 'n Jill,SKU-FOO-000012,112.63,81.32,167,2023-03-17 06:10:52,True,full_load
13,Oster LED Desk Lamp Plus,6,35,Oster,SKU-HOM-000013,4592.22,2525.72,105,2023-12-18 04:45:45,True,full_load
14,Jack 'n Jill Fruit Juice Pro,17,88,Jack 'n Jill,SKU-FOO-000014,212.61,117.59,387,2023-08-12 22:25:06,True,full_load
